areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
N92000002,Northern Ireland,nation,2021-01-16,2240
N92000002,Northern Ireland,nation,2021-01-15,2217
N92000002,Northern Ireland,nation,2021-01-14,2188
N92000002,Northern Ireland,nation,2021-01-13,2154
N92000002,Northern Ireland,nation,2021-01-12,2130
N92000002,Northern Ireland,nation,2021-01-11,2106
N92000002,Northern Ireland,nation,2021-01-10,2075
N92000002,Northern Ireland,nation,2021-01-09,2060
N92000002,Northern Ireland,nation,2021-01-08,2038
N92000002,Northern Ireland,nation,2021-01-07,2024
N92000002,Northern Ireland,nation,2021-01-06,1996
N92000002,Northern Ireland,nation,2021-01-05,1984
N92000002,Northern Ireland,nation,2021-01-04,1968
N92000002,Northern Ireland,nation,2021-01-03,1954
N92000002,Northern Ireland,nation,2021-01-02,1939
N92000002,Northern Ireland,nation,2021-01-01,1922
N92000002,Northern Ireland,nation,2020-12-31,1905
N92000002,Northern Ireland,nation,2020-12-30,1889
N92000002,Northern Ireland,nation,2020-12-29,1875
N92000002,Northern Ireland,nation,2020-12-28,1863
N92000002,Northern Ireland,nation,2020-12-27,1849
N92000002,Northern Ireland,nation,2020-12-26,1833
N92000002,Northern Ireland,nation,2020-12-25,1819
N92000002,Northern Ireland,nation,2020-12-24,1809
N92000002,Northern Ireland,nation,2020-12-23,1792
N92000002,Northern Ireland,nation,2020-12-22,1769
N92000002,Northern Ireland,nation,2020-12-21,1756
N92000002,Northern Ireland,nation,2020-12-20,1734
N92000002,Northern Ireland,nation,2020-12-19,1714
N92000002,Northern Ireland,nation,2020-12-18,1698
N92000002,Northern Ireland,nation,2020-12-17,1681
N92000002,Northern Ireland,nation,2020-12-16,1666
N92000002,Northern Ireland,nation,2020-12-15,1652
N92000002,Northern Ireland,nation,2020-12-14,1643
N92000002,Northern Ireland,nation,2020-12-13,1632
N92000002,Northern Ireland,nation,2020-12-12,1620
N92000002,Northern Ireland,nation,2020-12-11,1612
N92000002,Northern Ireland,nation,2020-12-10,1598
N92000002,Northern Ireland,nation,2020-12-09,1582
N92000002,Northern Ireland,nation,2020-12-08,1571
N92000002,Northern Ireland,nation,2020-12-07,1561
N92000002,Northern Ireland,nation,2020-12-06,1542
N92000002,Northern Ireland,nation,2020-12-05,1527
N92000002,Northern Ireland,nation,2020-12-04,1513
N92000002,Northern Ireland,nation,2020-12-03,1502
N92000002,Northern Ireland,nation,2020-12-02,1491
N92000002,Northern Ireland,nation,2020-12-01,1479
N92000002,Northern Ireland,nation,2020-11-30,1470
N92000002,Northern Ireland,nation,2020-11-29,1455
N92000002,Northern Ireland,nation,2020-11-28,1443
N92000002,Northern Ireland,nation,2020-11-27,1429
N92000002,Northern Ireland,nation,2020-11-26,1414
N92000002,Northern Ireland,nation,2020-11-25,1400
N92000002,Northern Ireland,nation,2020-11-24,1394
N92000002,Northern Ireland,nation,2020-11-23,1384
N92000002,Northern Ireland,nation,2020-11-22,1375
N92000002,Northern Ireland,nation,2020-11-21,1361
N92000002,Northern Ireland,nation,2020-11-20,1352
N92000002,Northern Ireland,nation,2020-11-19,1335
N92000002,Northern Ireland,nation,2020-11-18,1319
N92000002,Northern Ireland,nation,2020-11-17,1305
N92000002,Northern Ireland,nation,2020-11-16,1288
N92000002,Northern Ireland,nation,2020-11-15,1279
N92000002,Northern Ireland,nation,2020-11-14,1262
N92000002,Northern Ireland,nation,2020-11-13,1246
N92000002,Northern Ireland,nation,2020-11-12,1226
N92000002,Northern Ireland,nation,2020-11-11,1217
N92000002,Northern Ireland,nation,2020-11-10,1200
N92000002,Northern Ireland,nation,2020-11-09,1188
N92000002,Northern Ireland,nation,2020-11-08,1179
N92000002,Northern Ireland,nation,2020-11-07,1166
N92000002,Northern Ireland,nation,2020-11-06,1154
N92000002,Northern Ireland,nation,2020-11-05,1133
N92000002,Northern Ireland,nation,2020-11-04,1125
N92000002,Northern Ireland,nation,2020-11-03,1113
N92000002,Northern Ireland,nation,2020-11-02,1098
N92000002,Northern Ireland,nation,2020-11-01,1091
N92000002,Northern Ireland,nation,2020-10-31,1079
N92000002,Northern Ireland,nation,2020-10-30,1069
N92000002,Northern Ireland,nation,2020-10-29,1055
N92000002,Northern Ireland,nation,2020-10-28,1040
N92000002,Northern Ireland,nation,2020-10-27,1032
N92000002,Northern Ireland,nation,2020-10-26,1020
N92000002,Northern Ireland,nation,2020-10-25,1006
N92000002,Northern Ireland,nation,2020-10-24,998
N92000002,Northern Ireland,nation,2020-10-23,989
N92000002,Northern Ireland,nation,2020-10-22,982
N92000002,Northern Ireland,nation,2020-10-21,975
N92000002,Northern Ireland,nation,2020-10-20,968
N92000002,Northern Ireland,nation,2020-10-19,963
N92000002,Northern Ireland,nation,2020-10-18,955
N92000002,Northern Ireland,nation,2020-10-17,946
N92000002,Northern Ireland,nation,2020-10-16,942
N92000002,Northern Ireland,nation,2020-10-15,940
N92000002,Northern Ireland,nation,2020-10-14,938
N92000002,Northern Ireland,nation,2020-10-13,934
N92000002,Northern Ireland,nation,2020-10-12,929
N92000002,Northern Ireland,nation,2020-10-11,923
N92000002,Northern Ireland,nation,2020-10-10,917
N92000002,Northern Ireland,nation,2020-10-09,915
N92000002,Northern Ireland,nation,2020-10-08,915
N92000002,Northern Ireland,nation,2020-10-07,915
N92000002,Northern Ireland,nation,2020-10-06,913
N92000002,Northern Ireland,nation,2020-10-05,912
N92000002,Northern Ireland,nation,2020-10-04,910
N92000002,Northern Ireland,nation,2020-10-03,910
N92000002,Northern Ireland,nation,2020-10-02,908
N92000002,Northern Ireland,nation,2020-10-01,906
N92000002,Northern Ireland,nation,2020-09-30,904
N92000002,Northern Ireland,nation,2020-09-29,903
N92000002,Northern Ireland,nation,2020-09-28,903
N92000002,Northern Ireland,nation,2020-09-27,902
N92000002,Northern Ireland,nation,2020-09-26,902
N92000002,Northern Ireland,nation,2020-09-25,902
N92000002,Northern Ireland,nation,2020-09-24,900
N92000002,Northern Ireland,nation,2020-09-23,900
N92000002,Northern Ireland,nation,2020-09-22,899
N92000002,Northern Ireland,nation,2020-09-21,899
N92000002,Northern Ireland,nation,2020-09-20,899
N92000002,Northern Ireland,nation,2020-09-19,899
N92000002,Northern Ireland,nation,2020-09-18,896
N92000002,Northern Ireland,nation,2020-09-17,894
N92000002,Northern Ireland,nation,2020-09-16,893
N92000002,Northern Ireland,nation,2020-09-15,890
N92000002,Northern Ireland,nation,2020-09-14,888
N92000002,Northern Ireland,nation,2020-09-13,887
N92000002,Northern Ireland,nation,2020-09-12,887
N92000002,Northern Ireland,nation,2020-09-11,887
N92000002,Northern Ireland,nation,2020-09-10,885
N92000002,Northern Ireland,nation,2020-09-09,884
N92000002,Northern Ireland,nation,2020-09-08,884
N92000002,Northern Ireland,nation,2020-09-07,883
N92000002,Northern Ireland,nation,2020-09-06,880
N92000002,Northern Ireland,nation,2020-09-05,880
N92000002,Northern Ireland,nation,2020-09-04,879
N92000002,Northern Ireland,nation,2020-09-03,879
N92000002,Northern Ireland,nation,2020-09-02,877
N92000002,Northern Ireland,nation,2020-09-01,876
N92000002,Northern Ireland,nation,2020-08-31,875
N92000002,Northern Ireland,nation,2020-08-30,874
N92000002,Northern Ireland,nation,2020-08-29,873
N92000002,Northern Ireland,nation,2020-08-28,873
N92000002,Northern Ireland,nation,2020-08-27,873
N92000002,Northern Ireland,nation,2020-08-26,873
N92000002,Northern Ireland,nation,2020-08-25,873
N92000002,Northern Ireland,nation,2020-08-24,872
N92000002,Northern Ireland,nation,2020-08-23,871
N92000002,Northern Ireland,nation,2020-08-22,871
N92000002,Northern Ireland,nation,2020-08-21,871
N92000002,Northern Ireland,nation,2020-08-20,871
N92000002,Northern Ireland,nation,2020-08-19,871
N92000002,Northern Ireland,nation,2020-08-18,871
N92000002,Northern Ireland,nation,2020-08-17,870
N92000002,Northern Ireland,nation,2020-08-16,870
N92000002,Northern Ireland,nation,2020-08-15,869
N92000002,Northern Ireland,nation,2020-08-14,868
N92000002,Northern Ireland,nation,2020-08-13,867
N92000002,Northern Ireland,nation,2020-08-12,865
N92000002,Northern Ireland,nation,2020-08-11,863
N92000002,Northern Ireland,nation,2020-08-10,863
N92000002,Northern Ireland,nation,2020-08-09,863
N92000002,Northern Ireland,nation,2020-08-08,862
N92000002,Northern Ireland,nation,2020-08-07,860
N92000002,Northern Ireland,nation,2020-08-06,860
N92000002,Northern Ireland,nation,2020-08-05,859
N92000002,Northern Ireland,nation,2020-08-04,858
N92000002,Northern Ireland,nation,2020-08-03,856
N92000002,Northern Ireland,nation,2020-08-02,856
N92000002,Northern Ireland,nation,2020-08-01,856
N92000002,Northern Ireland,nation,2020-07-31,856
N92000002,Northern Ireland,nation,2020-07-30,856
N92000002,Northern Ireland,nation,2020-07-29,856
N92000002,Northern Ireland,nation,2020-07-28,856
N92000002,Northern Ireland,nation,2020-07-27,856
N92000002,Northern Ireland,nation,2020-07-26,856
N92000002,Northern Ireland,nation,2020-07-25,855
N92000002,Northern Ireland,nation,2020-07-24,855
N92000002,Northern Ireland,nation,2020-07-23,855
N92000002,Northern Ireland,nation,2020-07-22,853
N92000002,Northern Ireland,nation,2020-07-21,853
N92000002,Northern Ireland,nation,2020-07-20,853
N92000002,Northern Ireland,nation,2020-07-19,852
N92000002,Northern Ireland,nation,2020-07-18,852
N92000002,Northern Ireland,nation,2020-07-17,851
N92000002,Northern Ireland,nation,2020-07-16,849
N92000002,Northern Ireland,nation,2020-07-15,848
N92000002,Northern Ireland,nation,2020-07-14,848
N92000002,Northern Ireland,nation,2020-07-13,848
N92000002,Northern Ireland,nation,2020-07-12,848
N92000002,Northern Ireland,nation,2020-07-11,847
N92000002,Northern Ireland,nation,2020-07-10,846
N92000002,Northern Ireland,nation,2020-07-09,845
N92000002,Northern Ireland,nation,2020-07-08,844
N92000002,Northern Ireland,nation,2020-07-07,844
N92000002,Northern Ireland,nation,2020-07-06,844
N92000002,Northern Ireland,nation,2020-07-05,844
N92000002,Northern Ireland,nation,2020-07-04,842
N92000002,Northern Ireland,nation,2020-07-03,842
N92000002,Northern Ireland,nation,2020-07-02,840
N92000002,Northern Ireland,nation,2020-07-01,840
N92000002,Northern Ireland,nation,2020-06-30,838
N92000002,Northern Ireland,nation,2020-06-29,836
N92000002,Northern Ireland,nation,2020-06-28,835
N92000002,Northern Ireland,nation,2020-06-27,832
N92000002,Northern Ireland,nation,2020-06-26,831
N92000002,Northern Ireland,nation,2020-06-25,829
N92000002,Northern Ireland,nation,2020-06-24,828
N92000002,Northern Ireland,nation,2020-06-23,825
N92000002,Northern Ireland,nation,2020-06-22,824
N92000002,Northern Ireland,nation,2020-06-21,823
N92000002,Northern Ireland,nation,2020-06-20,822
N92000002,Northern Ireland,nation,2020-06-19,821
N92000002,Northern Ireland,nation,2020-06-18,818
N92000002,Northern Ireland,nation,2020-06-17,817
N92000002,Northern Ireland,nation,2020-06-16,816
N92000002,Northern Ireland,nation,2020-06-15,815
N92000002,Northern Ireland,nation,2020-06-14,814
N92000002,Northern Ireland,nation,2020-06-13,812
N92000002,Northern Ireland,nation,2020-06-12,809
N92000002,Northern Ireland,nation,2020-06-11,804
N92000002,Northern Ireland,nation,2020-06-10,800
N92000002,Northern Ireland,nation,2020-06-09,797
N92000002,Northern Ireland,nation,2020-06-08,795
N92000002,Northern Ireland,nation,2020-06-07,794
N92000002,Northern Ireland,nation,2020-06-06,791
N92000002,Northern Ireland,nation,2020-06-05,787
N92000002,Northern Ireland,nation,2020-06-04,786
N92000002,Northern Ireland,nation,2020-06-03,783
N92000002,Northern Ireland,nation,2020-06-02,780
N92000002,Northern Ireland,nation,2020-06-01,773
N92000002,Northern Ireland,nation,2020-05-31,770
N92000002,Northern Ireland,nation,2020-05-30,767
N92000002,Northern Ireland,nation,2020-05-29,765
N92000002,Northern Ireland,nation,2020-05-28,760
N92000002,Northern Ireland,nation,2020-05-27,755
N92000002,Northern Ireland,nation,2020-05-26,748
N92000002,Northern Ireland,nation,2020-05-25,746
N92000002,Northern Ireland,nation,2020-05-24,743
N92000002,Northern Ireland,nation,2020-05-23,731
N92000002,Northern Ireland,nation,2020-05-22,727
N92000002,Northern Ireland,nation,2020-05-21,721
N92000002,Northern Ireland,nation,2020-05-20,715
N92000002,Northern Ireland,nation,2020-05-19,707
N92000002,Northern Ireland,nation,2020-05-18,698
N92000002,Northern Ireland,nation,2020-05-17,688
N92000002,Northern Ireland,nation,2020-05-16,678
N92000002,Northern Ireland,nation,2020-05-15,674
N92000002,Northern Ireland,nation,2020-05-14,665
N92000002,Northern Ireland,nation,2020-05-13,650
N92000002,Northern Ireland,nation,2020-05-12,644
N92000002,Northern Ireland,nation,2020-05-11,637
N92000002,Northern Ireland,nation,2020-05-10,631
N92000002,Northern Ireland,nation,2020-05-09,618
N92000002,Northern Ireland,nation,2020-05-08,609
N92000002,Northern Ireland,nation,2020-05-07,600
N92000002,Northern Ireland,nation,2020-05-06,593
N92000002,Northern Ireland,nation,2020-05-05,586
N92000002,Northern Ireland,nation,2020-05-04,579
N92000002,Northern Ireland,nation,2020-05-03,565
N92000002,Northern Ireland,nation,2020-05-02,547
N92000002,Northern Ireland,nation,2020-05-01,527
N92000002,Northern Ireland,nation,2020-04-30,505
N92000002,Northern Ireland,nation,2020-04-29,492
N92000002,Northern Ireland,nation,2020-04-28,477
