areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
E92000001,England,nation,2021-01-31,3371302,107143,458607,8091116,458607
E92000001,England,nation,2021-01-30,3357592,106220,456229,7813831,456229
E92000001,England,nation,2021-01-29,3342590,105274,453923,7355680,453923
E92000001,England,nation,2021-01-28,3322905,104216,451681,6883853,451681
E92000001,England,nation,2021-01-27,3301062,103083,450567,6550418,450567
E92000001,England,nation,2021-01-26,3277822,101941,450004,6316826,450004
E92000001,England,nation,2021-01-25,3253390,100882,449596,6091663,449596
E92000001,England,nation,2021-01-24,3226278,99697,449116,5903186,449116
E92000001,England,nation,2021-01-23,3210825,98572,448633,5714961,448633
E92000001,England,nation,2021-01-22,3190951,97408,448073,5257507,448073
E92000001,England,nation,2021-01-21,3164035,96190,447417,4791384,447417
E92000001,England,nation,2021-01-20,3135282,94958,445919,4436049,445919
E92000001,England,nation,2021-01-19,3103531,93671,444298,4120460,444298
E92000001,England,nation,2021-01-18,3067569,92307,443048,3827051,443048
E92000001,England,nation,2021-01-17,3026853,91036,442123,3677802,442123
E92000001,England,nation,2021-01-16,3000647,89768,441356,3529715,441356
E92000001,England,nation,2021-01-15,2972994,88498,440095,3243229,440095
E92000001,England,nation,2021-01-14,2936204,87302,437833,2913454,437833
E92000001,England,nation,2021-01-13,2897673,86130,434113,2628772,434113
E92000001,England,nation,2021-01-12,2856510,84951,427732,2378786,427732
E92000001,England,nation,2021-01-11,2811836,83752,417242,2205015,417242
E92000001,England,nation,2021-01-10,2759821,82662,401325,2093539,401325
E92000001,England,nation,2021-01-09,2726963,81588,356957,1985345,356957
E92000001,England,nation,2021-01-08,2691512,80587,294096,1774757,294096
E92000001,England,nation,2021-01-07,2649177,79610,234974,1528215,234974
E92000001,England,nation,2021-01-06,2602319,78640,156725,1327384,156725
E92000001,England,nation,2021-01-05,2551000,77733,76884,1238184,76884
E92000001,England,nation,2021-01-04,2492956,76836,30321,1179848,30321
E92000001,England,nation,2021-01-03,2423839,75992,20968,1152049,20968
E92000001,England,nation,2021-01-02,2374330,75273,17172,1135649,17172
E92000001,England,nation,2021-01-01,2320156,74528,12471,1105803,12471
E92000001,England,nation,2020-12-31,2291930,73805,11374,1081315,11374
E92000001,England,nation,2020-12-30,2245242,73076,6568,992685,6568
E92000001,England,nation,2020-12-29,2182363,72378,2272,884854,2272
E92000001,England,nation,2020-12-28,2109857,71716,,838630,
E92000001,England,nation,2020-12-27,2069824,71051,,829567,
E92000001,England,nation,2020-12-26,2027391,70394,,824614,
E92000001,England,nation,2020-12-25,1990681,69741,,822829,
E92000001,England,nation,2020-12-24,1978010,69130,,822574,
E92000001,England,nation,2020-12-23,1949312,68577,,795215,
E92000001,England,nation,2020-12-22,1911705,68015,,715282,
E92000001,England,nation,2020-12-21,1870809,67436,,629182,
E92000001,England,nation,2020-12-20,1828216,66859,,565356,
E92000001,England,nation,2020-12-19,1799278,66355,,486771,
E92000001,England,nation,2020-12-18,1777537,65870,,397341,
E92000001,England,nation,2020-12-17,1745701,65350,,320335,
E92000001,England,nation,2020-12-16,1716101,64839,,224567,
E92000001,England,nation,2020-12-15,1685973,64421,,128359,
E92000001,England,nation,2020-12-14,1656879,63974,,69100,
